1,924,407,32,50,111.44
1,531.8,417.24,45.26,70.718,110.24
1,1148.1,390.46,82.747,129.29,109.15
1,1066.9,413.17,38.102,59.535,94.692
1,717.68,356.65,70.017,109.4,51.077
1,1003.3,359.43,82.747,129.29,36.005
1,857.66,258.6,41.584,64.975,34.18
1,1084,427,32,50,30.6
1,1554.2,445.73,41.584,64.975,24.363
1,1041.5,59.077,70.017,109.4,24.186
1,112,107,32,50,23.147
1,1616.6,452.09,34.86,54.468,19.611
1,321.83,168.23,234.06,365.71,9.3345
1,24,107,32,50,5.1402
2,536.67,424.1,49.349,77.108,139.53
2,1192.8,391.03,90.022,140.66,116.23
2,1079.5,405.59,49.349,77.108,107.01
2,967.35,412.87,34.86,54.468,82.618
2,716,423,32,50,76.247
2,768,348.44,75.852,118.52,48.809
2,1050.9,402.53,53.895,84.211,45.088
2,727.72,409.34,41.584,64.975,42.803
2,1147.8,36.912,38.102,59.535,22.533
2,14.629,288.91,117.03,182.86,20.798
2,753.84,417.23,34.86,54.468,19.222
2,895.4,265.53,38.102,59.535,18.966
2,1884,383,32,50,15.894
2,410.95,200.42,53.895,84.211,14.82
2,1664.5,465.16,34.86,54.468,8.7069
2,82.791,199.35,34.86,54.468,8.3671
2,1152,-1,32,50,7.0872
2,1111.8,64,58.514,91.429,6.8618
3,536.67,430.27,49.349,77.108,140.7
3,1091.9,411.76,49.349,77.108,119.63
3,1239.6,373.89,107.79,168.42,110.48
3,744,427,32,50,58.638
3,1008,415,32,50,56.041
3,1040,419,32,50,47.912
3,836,427,32,50,44.195
3,779.98,417.23,34.86,54.468,37.057
3,1164,39,32,50,33.134
3,1148.3,56.686,58.514,91.429,31.204
3,1184,43,32,50,31.11
3,947.8,265.53,38.102,59.535,30.491
3,1152,23,32,50,30.265
3,1070.8,424.93,41.584,64.975,19.723
3,102.4,34.743,58.514,91.429,18.248
3,1772.5,461.32,41.584,64.975,10.853
3,1200,55,32,50,8.522
3,772,435,32,50,3.0953
3,427.03,177.57,34.86,54.468,2.2165
4,520,422,64,100,162.59
4,1104.8,409.26,53.895,84.211,115.87
4,776,431,32,50,98.492
4,812,427,32,50,83.55
4,1305.3,402.29,90.022,140.66,77.284
4,871.59,413.17,38.102,59.535,67.111
4,1048,419,32,50,58.953
4,1240,27,32,50,57.424
4,1085.7,424.1,49.349,77.108,44.43
4,1125.1,416,53.895,84.211,43.374
4,985.9,265.53,38.102,59.535,41.118
4,435.74,151.42,34.86,54.468,32.422
4,1250.6,29.413,34.86,54.468,31.439
4,91.506,55.557,34.86,54.468,21.423
4,104,6,64,100,20.678
4,444,171,32,50,18.629
4,1169.5,24.69,41.584,64.975,17.943
4,1190.7,17.86,38.102,59.535,17.721
5,488,414,64,100,155.2
5,1096,390,64,100,125.06
5,788,415,32,50,91.073
5,819.2,408.41,38.102,59.535,66.746
